Club Name| City| Region| Website| Contact| Online| Coaches| Misc
Underground Boxing Club|Thunder Bay|Northern|&nbsp;|"634 Simpson St, Thunder Bay, Ontario P7C-3J7,,"||"Peter Panetta,,"|
United Boxing Club|Toronto|Central|&nbsp;|"1034 Bloor St W, Toronto, Ontario M6H1M3,(416) 268-0696,"||","|
United Fighter|Thunder Bay|Northern|http://www.uftb.ca/|"228 Red River Rd , Thunder Bay, Ontario P7B1A6,(807) 251-7830,"|Website: www.uftb.ca/|","|
Uptown Boxing|Barrie|Central|&nbsp;|"285 Dunlop St W, Barrie, Ontario L4M3L1,(705) 534-3639,"||"Jack Ireland,,"|
Valley East Boxing Club|Val Caron|Northern|http://www.valleyeastboxingclub.com|"1919 Helene St, Val Caron, Ontario P3N1G4,(705) 665-1118,"|"Website: www.valleyeastboxingclub.com,Facebook: valley east boxing club,Twitter: @veboxingclub"|"Peter Yannacoureas,Stuart Mitchell,William Rannelli,Tara Boimistrck,Brent McLaughlin,Lorne Romanko,,"|
Waterloo Regional Boxing Academy (WRBA)|Kitchener|Niagara|http://www.waterlooboxing.ca|"135 Lennox Lewis Way, Kitchener, Ontario N2C0A3,(519) 575-9006,"|Website: www.waterlooboxing.ca|"John Menezes,Craig Sears,Philie Brunt,,"|
West End Athletic Club|Etobicoke |Central|http://www.westendac.com|"283 Bering Ave , Etobicoke , Ontario M8Z3A5,(416) 621-1234,"|"Website: www.westendac.com,Facebook: https://www.instagram.com/westend.ac/"|"Vinny Cappuccitti,Natasha Spence,Sweta Srivastava,,"|
Willett Boxing Club|Hawkesbury|South West|http://willettboxingclub@gmail.com|"5-162 Bon Pasteur, Hawkesbury, Ontario K6A2K5,(613) 632-8844,"|Website: willettboxingclub@gmail.com|","|
Windsor Amateur Boxing Club|Windsor|South West|http://www.windsorameteurboxingclub.com|"1899 Grove Ave, Windsor, Ontario N9B1P7,(519) 252-1797,"|Website: www.windsorameteurboxingclub.com|"Robert Hart,Cedric Benn,,"|
Xtreme Couture Toronto|Toronto|Central|&nbsp;|"700 Kipling Ave, Toronto, Ontario M8Z5G3,(416) 503-1600,"||"Billy Martin,,"|
YGK Boxing|Kingston|Eastern|http://www.ygkboxing.com|"1300 Bath Road, Kingston, Ontario K7M4X4,(613) 507-3306,"|Website: www.ygkboxing.com|"John Daniel Firth,,"|
